,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEPT,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMT_SEPT,BILL_AMT_AUG,BILL_AMT_JUL,BILL_AMT_JUN,BILL_AMT_MAY,BILL_AMT_APR,PAY_AMT_SEPT,PAY_AMT_AUG,PAY_AMT_JUL,PAY_AMT_JUN,PAY_AMT_MAY,PAY_AMT_APR
10092,180000.0,2,3,1,43,-1,-1,-1,-1,-1,-1,1473.0,22969.0,27315.0,13315.0,8194.0,12800.0,22969.0,27392.0,13315.0,9000.0,12800.0,9460.0
17541,20000.0,2,2,2,37,1,2,0,0,0,2,16174.0,15617.0,16646.0,17648.0,18819.0,17992.0,0.0,1285.0,1287.0,1458.0,0.0,644.0
1920,100000.0,2,1,1,51,1,-2,-2,-1,2,2,0.0,0.0,0.0,300.0,150.0,780.0,0.0,0.0,300.0,0.0,630.0,0.0
27925,360000.0,2,1,2,26,2,2,-2,-2,-2,-2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40037,190000.0,1,2,1,47,1,1,1,1,0,0,88988.38718037539,91290.38851324808,93127.69448474018,91677.10727792975,93280.78471161656,95546.11646392211,4415.320789149605,4083.064157829921,846.7921085039525,3584.679210850395,3667.743368680316,3754.037632551186
18496,170000.0,2,2,2,25,0,0,0,0,0,0,65531.0,64149.0,46188.0,42793.0,30466.0,25583.0,2019.0,2006.0,2002.0,788.0,989.0,1000.0
27784,230000.0,2,2,2,25,0,0,0,0,0,0,95544.0,95311.0,94489.0,93143.0,87654.0,90172.0,4200.0,4500.0,4114.0,3500.0,4000.0,3000.0
31431,70000.0,1,2,1,36,2,1,1,1,1,2,19533.151778932184,19390.753906123744,21524.25555948242,21345.552049366182,22569.06832721885,23608.949603992496,391.69119233862045,2682.1960615054713,391.69119233862045,1578.338238467724,1552.225492311816,0.0
12636,50000.0,2,2,2,24,1,-2,-1,-1,0,0,0.0,0.0,51400.0,11330.0,12144.0,12938.0,0.0,51400.0,11330.0,1000.0,1000.0,1519.0
24936,310000.0,1,1,1,39,-1,-1,-1,-1,-1,-1,16577.0,1361.0,2716.0,824.0,757.0,842.0,1361.0,3146.0,824.0,757.0,842.0,13436.0
33316,154938.567504417,1,1,1,53,1,2,2,0,0,0,77863.24121520497,77979.53641753003,76131.47498503445,79954.30862777698,82163.61997868598,84298.04190808705,1923.344348321533,0.0,5368.05510229685,3493.856750441702,3493.856750441702,3595.0854003533614
20220,100000.0,2,1,2,52,1,2,2,2,2,2,13687.0,14007.0,14236.0,12924.0,12467.0,10950.0,1600.0,1500.0,0.0,700.0,0.0,1150.0
13718,140000.0,1,2,1,30,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,400000.0,2,1,2,31,-2,-2,-2,-2,-2,-2,203.0,767.0,664.0,1250.0,-10.0,2174.0,770.0,667.0,1256.0,0.0,2184.0,0.0
33188,50000.0,2,2,1,36,0,0,0,0,0,0,6735.786367873427,7069.1510201136125,7441.550231658282,7699.423054889412,7172.598568625293,7353.031153112378,1114.432584487085,1156.4572697045735,1083.9555666085205,226.75655401722008,935.2175744032218,54.33043742502471
22404,150000.0,2,1,2,26,0,0,0,0,0,0,136736.0,125651.0,116684.0,101581.0,77741.0,77264.0,4486.0,4235.0,3161.0,2647.0,2669.0,2669.0
43833,110000.0,1,1,2,28,0,1,0,0,0,2,112563.39146204694,108661.67076681364,109199.67076164538,110367.30608251631,113727.77679454644,110542.02802123116,960.2439415160734,4913.780524991102,3380.48777966705,8423.645118843964,0.0,4154.878055083238
20382,50000.0,1,2,2,23,0,0,-2,-2,-2,-2,49276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17993,220000.0,1,3,2,42,0,0,0,0,0,0,26595.0,33330.0,36720.0,40729.0,44762.0,48914.0,9000.0,5000.0,5000.0,5000.0,5000.0,5000.0
32111,94308.69497287559,2,2,1,29,0,0,0,0,0,0,79100.82775516821,79059.84927424224,82505.09982813752,81802.1669684774,83217.20260692948,85176.35959259311,2048.8698097647884,5353.975842748774,1764.3045584085678,3113.8261005424883,3669.1305027124413,2887.782547558803
46087,130000.0,2,1,1,32,1,0,0,0,0,0,126912.58562287725,129934.52410177767,130506.43727756037,97410.30832930101,98948.22083909833,98275.20752155407,6601.3402622820095,5459.362496734231,3851.785066961854,3668.276511955433,3814.2801887886185,3836.1097246549166
9030,80000.0,2,3,1,54,0,0,0,0,0,0,76752.0,77528.0,68966.0,63972.0,50072.0,51239.0,3768.0,3009.0,2009.0,1818.0,2000.0,6000.0
22057,330000.0,2,1,2,27,0,0,0,0,0,0,37587.0,39183.0,39305.0,40251.0,41683.0,38978.0,2000.0,2000.0,3000.0,3000.0,3000.0,1500.0
19209,210000.0,2,1,2,30,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7311,80000.0,2,2,3,30,0,0,0,0,0,0,11976.0,10010.0,10982.0,11325.0,11569.0,10303.0,1185.0,1157.0,500.0,400.0,500.0,5000.0
35337,181169.60281040365,1,1,1,29,1,2,2,2,2,2,112405.49329612759,112763.82926486102,109466.95350716864,111082.15177789007,108873.08015413204,105774.07596899422,5500.0,1763.209413809102,7257.733042310939,3946.784112416146,512.6426453821271,7314.031072566794
23022,280000.0,2,1,2,36,-1,-1,-1,-1,-1,-1,4126.0,7001.0,12984.0,-5.0,1411.0,5654.0,7065.0,13046.0,5.0,1416.0,5654.0,6055.0
4322,300000.0,2,2,1,31,-1,-1,-1,0,0,0,316.0,316.0,17597.0,15257.0,9482.0,10716.0,316.0,17597.0,2000.0,2690.0,2000.0,316.0
8229,500000.0,1,1,1,42,0,0,0,0,0,0,580928.0,597793.0,597415.0,569034.0,551702.0,568638.0,25624.0,21898.0,20851.0,19599.0,26000.0,20000.0
4196,100000.0,2,2,2,26,1,2,0,0,0,0,48006.0,46561.0,46764.0,48298.0,49137.0,49576.0,0.0,2200.0,3000.0,2000.0,1800.0,2000.0
17004,50000.0,2,2,2,22,2,2,2,3,2,2,19091.0,18487.0,22219.0,21520.0,20108.0,18207.0,0.0,4042.0,0.0,648.0,0.0,921.0
34368,50000.0,1,2,1,48,0,0,0,0,0,0,41861.604836431965,42430.32427578659,43102.337911546056,43689.754251653714,45225.32427578659,46052.03253714921,1964.8619453878412,2055.584025127511,2006.0450772031759,2961.1015150159374,1994.1652272523907,1558.347727476094
176,80000.0,1,1,2,30,-2,-1,0,0,0,0,6187.0,100.0,600.0,1438.0,1919.0,5380.0,504.0,500.0,1000.0,500.0,3500.0,0.0
38777,100000.0,2,1,1,38,2,2,2,2,1,1,97288.11164047365,99539.0201141516,99904.72280307315,99789.0054707269,97675.91913688979,100962.75947214612,4692.926533592168,2958.2624107614884,3095.334522156537,10.821312354360089,6172.352303828817,6.98946505003089
5929,50000.0,2,3,1,54,0,0,0,0,0,0,16648.0,16200.0,15622.0,14277.0,12930.0,11657.0,1588.0,1483.0,611.0,458.0,403.0,351.0
19342,200000.0,2,3,3,31,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7242,320000.0,2,2,1,47,-1,-1,2,-1,2,-1,10159.0,37758.0,15591.0,39240.0,28424.0,25120.0,38075.0,0.0,39424.0,0.0,25120.0,35375.0
32525,10000.0,1,2,2,26,0,1,1,0,0,0,9159.367156956205,10136.094106270186,9956.16865482649,9763.711201582417,8262.00952642084,515.0890253170637,1257.8092455180179,157.37973019085644,448.5013971888559,478.8392175742407,20.496443918835354,10.299720562228813
33622,100000.0,1,2,1,44,2,1,1,1,1,1,103647.98069765334,104680.74790655884,106387.40126647215,104565.91516515323,103615.49596277859,104401.61304154793,5314.736057544018,5271.578685848006,3956.842628303988,3935.789342924003,3696.3159856139955,4339.4733573100075
33568,283412.57020711113,1,2,1,43,1,1,0,0,0,0,287197.3452270136,282740.1213591032,270137.06241568923,189962.32324497943,133066.37775860663,132529.37322303926,3403.0662310063813,12682.51404142223,11971.260208082516,5996.678127664083,5332.994576030532,5000.0
10399,260000.0,1,1,1,53,1,-2,-2,-1,-1,2,0.0,990.0,0.0,1930.0,4304.0,150.0,990.0,0.0,1930.0,4304.0,0.0,150.0
3862,380000.0,1,1,1,48,0,0,0,0,0,0,356375.0,347165.0,318600.0,284972.0,285249.0,266406.0,40000.0,20000.0,20000.0,20000.0,10000.0,20000.0
4056,60000.0,2,2,2,26,0,0,0,0,2,2,48867.0,49979.0,51316.0,54046.0,55036.0,53985.0,2200.0,2470.0,4200.0,2000.0,0.0,6200.0
38029,200000.0,1,1,2,27,0,-2,-2,-2,-2,-1,-5.378484322962663,-5.378484322962663,-5.378484322962663,-5.378484322962663,-5.378484322962663,328.3904858031358,0.0,0.0,0.0,0.0,333.76897012609845,201.9442508325974
16761,50000.0,1,2,1,45,0,0,0,0,0,0,49573.0,49417.0,49085.0,33156.0,19344.0,18930.0,2245.0,1652.0,1497.0,10580.0,685.0,704.0
44642,379192.7684932818,1,1,1,47,0,0,0,0,0,0,349403.7063178573,357217.43030101375,349946.6173683858,351988.44268420845,358015.3935038565,360542.05527274427,14576.586504054894,14456.250996552386,12954.402562661984,14458.006097941468,13833.024805233586,12037.565679481684
11549,80000.0,1,1,2,39,0,0,0,0,0,0,49171.0,50376.0,51536.0,52782.0,53781.0,55389.0,2000.0,2000.0,2100.0,2000.0,2500.0,2500.0
28057,50000.0,2,3,1,34,2,2,2,2,2,2,28289.0,32783.0,33714.0,32250.0,34245.0,19719.0,5000.0,3000.0,0.0,5000.0,0.0,3000.0
629,200000.0,2,3,3,45,-1,-1,-1,-1,-1,-1,4430.0,7182.0,3855.0,3411.0,6788.0,9921.0,7193.0,3855.0,3411.0,6788.0,9921.0,5016.0
46702,50000.0,2,1,2,27,1,1,1,0,0,2,12825.326017244537,14310.399235329489,13842.344862037875,13996.75751035792,14821.520008958201,14434.009865957087,1986.5017182529175,54.42855543178404,680.9500055988756,1200.0,0.0,1341.296364109458
24888,310000.0,1,3,2,34,0,0,0,0,0,0,263685.0,190484.0,178753.0,166942.0,140659.0,145379.0,8000.0,6650.0,6000.0,6000.0,7000.0,6000.0
37513,152294.86504402713,2,2,1,45,1,2,1,0,0,0,176444.02099575277,167546.57116394764,153223.43805777206,150194.9568462951,47406.85783313682,44508.05350907239,6491.587731607452,728.7183809037688,4211.973400321476,13393.594469181007,1770.5134955972867,1947.5648451570155
32708,30000.0,1,2,2,28,2,2,1,1,1,1,12955.068561643075,12463.181233027175,12602.39484743778,12210.332730499173,13803.523377784639,14353.34412712781,0.0,598.0062788399902,67.67421179872775,1800.7520218356183,935.4263994988235,935.4263994988235
37994,21003.009929691718,2,2,2,26,1,2,-1,-1,0,0,17843.79887465224,302.8086977739299,-34.20263860248758,113.239821062195,4285.158192999461,4333.663591216877,1.0030099296917179,0.0,147.4424596646827,4171.918371937267,629.7893049215797,1236.1094373520737
11452,50000.0,1,2,2,39,1,2,0,0,0,0,50468.0,48621.0,49987.0,19663.0,16769.0,16550.0,0.0,2600.0,650.0,752.0,596.0,578.0
970,300000.0,1,1,1,42,-1,0,0,-1,0,0,11973.0,61834.0,25145.0,37666.0,19453.0,10492.0,20979.0,5000.0,37676.0,8808.0,2000.0,2709.0
15699,20000.0,1,2,1,31,1,4,3,2,0,0,21676.0,21054.0,20442.0,19773.0,20238.0,18062.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
21700,240000.0,2,3,2,25,0,-1,-1,-1,-1,-1,198768.0,2986.0,191142.0,98080.0,19380.0,100000.0,2986.0,191142.0,98080.0,79380.0,100000.0,50254.0
33267,90000.0,2,1,1,28,0,0,1,1,1,1,87874.19823517103,87377.0580467683,88141.54804073444,90911.34392050175,89459.67010947088,90846.79350909406,5686.313191887726,5300.043060252055,5681.393150020455,135.5496558261732,6542.587496459928,153.0399339972923
20584,50000.0,1,2,2,31,1,2,0,0,0,-1,51086.0,49804.0,28662.0,29476.0,4011.0,1000.0,0.0,2000.0,1500.0,1000.0,1000.0,0.0
13849,170000.0,1,1,2,24,0,0,0,0,0,2,169883.0,171851.0,158426.0,96704.0,101555.0,97884.0,6808.0,4625.0,3510.0,9100.0,0.0,3500.0
16073,360000.0,2,2,1,47,-1,-1,-1,-1,0,0,410.0,3620.0,7656.0,56397.0,43882.0,21818.0,3620.0,7656.0,56397.0,0.0,0.0,12117.0
21529,80000.0,2,2,2,22,0,0,0,0,0,0,77408.0,78363.0,72602.0,72525.0,56951.0,21952.0,2677.0,3341.0,1850.0,1499.0,933.0,32000.0
4100,120000.0,1,1,2,32,-1,-1,-1,-1,-1,-1,890.0,390.0,390.0,1480.0,0.0,6477.0,390.0,390.0,1480.0,0.0,6477.0,0.0
18600,80000.0,2,2,2,27,-1,-1,-1,-1,-1,-1,725.0,2959.0,1838.0,2899.0,1376.0,1320.0,2968.0,1838.0,2899.0,1376.0,1320.0,1107.0
20505,50000.0,1,2,2,28,0,0,0,0,0,0,45622.0,47061.0,48264.0,27806.0,24901.0,25441.0,2500.0,2500.0,2000.0,2000.0,941.0,3113.0
1655,100000.0,2,3,1,31,-1,-1,-1,-2,-2,-2,16033.0,1716.0,1200.0,0.0,0.0,1300.0,1716.0,1200.0,0.0,0.0,1300.0,6455.0
37648,200000.0,1,1,2,31,-1,-1,-1,0,0,1,4958.340644861377,21387.773779794974,3607.0073288568738,2822.3500703530317,1980.934401132703,2149.7318211061133,21426.63299640659,3615.6759233317734,447.7530183322602,1129.3197232365326,1793.50230515164,123.46135942206762
40469,50000.0,2,2,1,37,0,1,1,0,0,0,34901.56305837522,34007.109768370625,29687.50600499492,19339.737967784386,14131.975311481205,12350.04112105886,2714.731712680154,989.2883055505289,1664.3204600114204,827.7596129113116,599.4475351189901,277.10067553228566
10935,120000.0,2,2,2,23,0,0,2,0,0,0,107934.0,123579.0,118117.0,77943.0,78834.0,76889.0,19000.0,8.0,3000.0,3000.0,3500.0,3500.0
13094,20000.0,1,3,1,55,1,2,0,0,0,0,19420.0,19810.0,20037.0,19640.0,15378.0,7284.0,1000.0,1400.0,393.0,308.0,1000.0,0.0
44234,110000.0,2,2,1,36,1,2,0,0,1,2,110680.0256431613,106918.3321182208,105338.12983693945,109159.04040080158,108232.94866318563,111493.29375845441,0.0,4924.585702655327,6850.805916520592,1950.8512728580997,6009.807067259626,918.0476578155763
27799,50000.0,2,1,2,26,2,2,2,2,2,0,47068.0,46010.0,49333.0,49708.0,45112.0,42063.0,0.0,4070.0,1551.0,0.0,1528.0,3273.0
41681,60000.0,2,1,2,31,0,0,0,0,-1,-1,52804.07142787723,1733.3050274636435,836.3475921403788,107.00070257506013,872.2953358153461,1731.8037312467175,2479.088902949068,540.479544474854,515.7247561782958,2431.6616209212334,2700.3542188901256,2626.586183216061
44615,222594.0629024688,1,1,1,28,1,2,2,2,2,2,32204.75012255516,32416.321779035035,33616.61651501549,33165.90613651742,34945.16915949498,34246.19884498264,961.3597116549422,2518.0186131606033,392.48171714353145,2356.5422784511384,518.8125804937627,4312.782410972512
28747,50000.0,2,2,1,28,3,2,2,7,7,7,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
32106,20000.0,1,2,1,40,0,0,1,2,1,1,13552.144860449089,16345.533408499123,17905.81886828248,17461.378922541488,16962.929937061468,18225.31771876954,3064.3513298671996,2124.2871730397233,108.8528405250288,55.762037937668126,1536.8085887442892,896.0766230792359
19018,90000.0,2,1,2,28,-1,-1,-1,0,0,0,866.0,148.0,377.0,4229.0,6109.0,8832.0,148.0,377.0,4000.0,2109.0,2832.0,316.0
42791,170000.0,1,1,2,29,0,0,0,-1,-1,0,6414.494249438025,5590.081204150518,-0.7397169467931821,142.02565378429097,236.8575784182043,393.0957542018977,1011.9730204475136,0.0,142.76537073108415,236.8575784182043,293.6676278768933,138.4705843060271
44352,210000.0,2,1,1,44,1,-1,-1,-1,-1,-1,0.0,255.43927969187953,304.64274750138094,51.64619316174613,45.015938634224675,101.8965432650667,255.43927969187953,304.64274750138094,51.64619316174613,45.015938634224675,101.8965432650667,0.0
1555,340000.0,1,1,1,52,-2,-2,-2,-2,-2,-2,30832.0,33652.0,35192.0,30000.0,10766.0,33887.0,33670.0,35212.0,30000.0,10766.0,33905.0,30200.0
42219,360000.0,1,2,1,40,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15977,80000.0,2,2,1,38,0,0,0,0,0,0,72704.0,70907.0,59223.0,40128.0,41152.0,41527.0,3133.0,2132.0,1650.0,2000.0,1503.0,1505.0
23562,150000.0,2,1,2,36,0,0,0,0,0,2,127204.0,247984.0,125502.0,129589.0,133145.0,139322.0,5900.0,5000.0,6163.0,7200.0,10500.0,4900.0
40555,30000.0,2,2,2,28,1,2,0,0,0,2,16442.60797544139,15526.512523497848,16506.529969211424,16848.80934585348,17970.916013543712,18235.21283589934,0.0,1265.2492212541392,639.3551397226811,1418.948412080962,707.8006229966886,0.0
41861,154872.0569963794,1,1,2,38,0,1,1,0,0,0,148327.17219226327,148891.4731532104,96659.4923800365,98180.95246370659,99285.31942500045,101453.26776810978,4663.271762892108,823.8040435316489,3993.2251545233867,3465.675526477624,3968.143308745548,3330.536818018534
2638,100000.0,1,3,1,40,0,0,-1,-1,-2,-2,12878.0,7702.0,2377.0,0.0,0.0,0.0,2000.0,2377.0,40000.0,0.0,0.0,0.0
15945,230000.0,2,2,2,28,0,0,0,0,0,0,64992.0,56763.0,58020.0,59580.0,59224.0,61867.0,2500.0,2500.0,3000.0,2000.0,4000.0,2000.0
9258,20000.0,2,2,2,21,0,0,0,0,0,0,20040.0,17850.0,13560.0,11748.0,10632.0,10019.0,1499.0,1099.0,333.0,2000.0,2000.0,800.0
38898,30000.0,2,2,1,44,2,0,0,0,0,0,26604.211493671515,27724.04789300608,29184.86788514453,30072.201254028878,26359.450511779025,27547.036771704068,1577.709348942818,1938.5890115562129,1515.5235056733536,935.0801497602293,2000.0,2970.1638220958143
37636,40000.0,2,2,2,23,2,2,2,1,1,1,33520.45771765081,34451.46955441075,33595.87027077756,35189.19576862975,35898.43716387425,34342.03721765862,1761.23656812239,0.0,2298.0376927955353,1326.8727613537317,587.4318616152154,2047.562682095513
41692,344571.33984153974,1,1,1,39,0,-1,-1,-1,-1,-1,451.66048797395183,1845.6399332908366,429.2889307441844,890.6058694821463,25322.76972495756,4436.4849286218305,1875.3536422608447,459.00263971419275,920.3195784521546,25352.483433927573,4526.768890492241,1841.4105899122321
9427,20000.0,1,1,2,23,0,0,0,0,0,-2,18436.0,19219.0,6140.0,6140.0,0.0,0.0,1500.0,1000.0,0.0,0.0,0.0,0.0
18165,50000.0,1,2,2,42,0,0,0,0,0,0,47282.0,47535.0,46578.0,17029.0,10575.0,9478.0,2500.0,2000.0,2500.0,500.0,500.0,500.0
7584,90000.0,2,2,2,28,1,2,2,2,0,0,83480.0,89264.0,89896.0,86706.0,87385.0,88351.0,8000.0,3000.0,0.0,3000.0,5000.0,5000.0
34344,50000.0,1,3,1,44,0,0,0,0,0,0,43865.12769000777,44883.162008445644,46006.73810953366,47313.832431359246,47306.651470940444,48484.89492164912,2156.4244111274743,2122.206571193339,2176.8662375816325,1704.9266790095376,1718.2583049579018,1752.9205324236489
220,360000.0,2,1,1,40,2,2,2,0,0,0,105167.0,115468.0,112157.0,114690.0,117845.0,120238.0,12000.0,0.0,5900.0,5000.0,4500.0,4700.0
2068,30000.0,1,3,1,50,0,0,0,0,0,-1,28339.0,24232.0,15626.0,9330.0,4372.0,1419.0,1681.0,2000.0,0.0,0.0,1419.0,12000.0
27351,210000.0,1,2,1,39,-1,-1,-1,-1,-1,-1,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0,1443.0
24522,200000.0,1,1,1,31,-1,-1,-1,-1,-1,-1,990.0,1000.0,6855.0,1500.0,9181.0,7443.0,1010.0,6855.0,1500.0,9181.0,7443.0,2009.0
33048,200000.0,2,1,2,34,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.88734811969175
13721,60000.0,1,2,2,38,0,0,0,0,0,0,42184.0,42108.0,41300.0,40840.0,40366.0,39737.0,2014.0,1616.0,1566.0,1700.0,1600.0,1400.0
9507,280000.0,2,1,2,35,-1,2,2,-1,2,-1,199.0,199.0,-127.0,1012.0,536.0,982.0,0.0,0.0,1548.0,0.0,982.0,601.0
9957,30000.0,2,2,1,33,2,0,0,2,2,0,31947.0,31564.0,34804.0,33808.0,31740.0,31135.0,1872.0,5550.0,1238.0,0.0,1515.0,4665.0
710,50000.0,1,1,3,49,0,0,0,0,0,0,17681.0,18249.0,18054.0,18569.0,19152.0,18088.0,1611.0,2000.0,780.0,1000.0,1000.0,2000.0
32138,50000.0,2,2,1,29,0,0,0,0,-2,-2,35951.664527258705,29762.975613484035,7495.484608059238,0.0,0.0,0.0,1936.6297484856277,1019.0110754543117,0.0,0.0,0.0,0.0
998,50000.0,2,2,2,23,-1,-1,-1,0,-1,-1,780.0,0.0,780.0,390.0,390.0,500.0,0.0,780.0,0.0,390.0,500.0,18300.0
37998,120000.0,2,1,1,38,-1,-1,-1,-1,-1,-1,441.870579360868,3879.7118007933605,361.8995680041825,368.7015914155013,368.7015914155013,586.0605176970332,3882.2153232989153,672.5005427813358,368.7015914155013,310.6009747771533,586.0605176970332,393.26445373415254
